"full_text","clean_text"
"user_id_str","useridstr"
"1.69891142239328E+018","e"
"1.70187161212206E+018","e"
"1.81378439313744E+018","e"
"1.71123133081265E+018","e"
"1.70260375399472E+018","e"
"1.68875588694744E+018","e"
"1.69246001285216E+018","e"
"1.68485277717933E+018","e"
"1.70180893422983E+018","e"
"1.70397478154735E+018","e"
"1.85148129828163E+018","e"
"1.6968206318312E+018","e"
"1.68949454173543E+018","e"
"1.8431811755292E+018","e"
"1.70222899558319E+018","e"
"318962707",""
"134362641",""
"108235896",""
"1.76010536511779E+018","e"
"121068007",""
"178743746",""
"134362641",""
"134362641",""
"1.84315388143567E+018","e"
"1.03012331377374E+018","e"
"284443372",""
"1.541060230083E+018","e"
"1.69165480471888E+018","e"
"1.71409106520287E+018","e"
"1.58263822172426E+018","e"
"1.1398566428691E+018","e"
"66282287",""
"1.06624239429358E+018","e"
"7.72689620576395E+017","e"
"169763026",""
"1.68889581920082E+018","e"
"869327120",""
"1.69134253970045E+018","e"
"1.8460715598466E+018","e"
"1.60438399606209E+018","e"
"1.68585948142159E+018","e"
"1.68367529129685E+018","e"
"1.83049603396258E+018","e"
"1.70362391087569E+018","e"
"1.69891713597059E+018","e"
"1.69854191718388E+018","e"
"1.69168635879925E+018","e"
"1.51407119046973E+018","e"
"1.68629841778876E+018","e"
"1.80418658914655E+018","e"
"1135526713",""
"1.12651411457704E+018","e"
"4214662275",""
"1963701427",""
"1.41012376860992E+018","e"
"1124780264",""
"1.68456949141679E+018","e"
"118371948",""
"299633095",""
"1.74491775474506E+018","e"
"1.50879963863521E+018","e"
"1.48442570560178E+018","e"
"1.51342449291966E+018","e"
"1.5101312915259E+018","e"
"1.14338422741879E+018","e"
"1.35046672970548E+018","e"
"448260081",""
"1.49938689666515E+018","e"
"8.16022839308349E+017","e"
"1910360808",""
"545264533",""
"1.25748695557661E+018","e"
"1.37653078608664E+018","e"
"1.3458982594458E+018","e"
"1.8422084813337E+018","e"
"1.51497578920836E+018","e"
"1.40900482280464E+018","e"
"1695419448",""
"1.54910360472368E+018","e"
"1695419448",""
"1.50657885245344E+018","e"
"1.5753546076936E+018","e"
"536477456",""
"540577750",""
"1695419448",""
"1.880274564024E+018","e"
"1.01475704855312E+018","e"
"17128975",""
"74729936",""
"201965045",""
"1.62387648488368E+018","e"
"398640708",""
"8.78487191386705E+017","e"
"4520449281",""
"116113585",""
"1.80482635992939E+018","e"
"1.47980817925278E+018","e"
